职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
投资经理,北京朝阳区建国路93号院万达广场8号楼2206,学历不限,1年以下,招5人,1.2万-2.2万,投资/融资,外商独资,100-299人,,,全职,<岗位标签>债权投资；股权投资；产业投资</岗位标签>职位描述<br>职位要求：<br>工作时间：岗位职责：<br>1、根据公司发展战略和投资工作计划，参与对各类型投资项目进行搜集和分析，参与项目前期商务谈判；<br>2、参与尽职调查与价值评估，配合撰写项目立项报告与投资建议书等项目文件；<br>3、协助拓展和维护公司外部资源，保持与相关机构的日常沟通及业务配合；<br>4、负责投资项目工作的资料整理、分类及归档；<br>5、领导交办的其他相关工作。<br>任职要求：<br>项目投资顾问：对接全国，有合适,恒天然实业控股（北京）集团有限公司是一家具有美资背景的本土公司，公司以中央政府破解中小企业融资难的目标为指向，尤对一千万至十个亿的中小建设项目只要通过调研评析、风险排查及风控审定等程序采信，均可采用...,http://company.zhaopin.com/CZ814090720.htm,http://jobs.zhaopin.com/CC814090720J40545155410.htm,2024-05-14 11:15:26
新能源项目投融资经理,北京丰台区海鹰路6号院,学历不限,经验不限,招4人,2万-4万,房地产开发,国企,1000-9999人,未融资,,全职,<岗位标签></岗位标签>1.对海上发电、陆上发电、抽水蓄能、光伏等工作有一定的了解 <br> 2.有五大六小资源 <br> 3.有投融资成功案例,中建二局第三建筑工程有限公司始建于1952年，是具有国家特级施工资质的大型建筑企业，具有承担各类工业与民用建筑工程、建筑安装工程、室内外装饰装修工程、地基基础、消防工程、钢结构、道路桥梁、市政环保...,http://company.zhaopin.com/CZ262719910.htm,http://jobs.zhaopin.com/CC262719910J40590553915.htm,2024-05-11 20:34:58
高级投资经理,北京海淀区北京市海淀区丹棱街3号,本科,5-10年,招2人,1.5万-2.5万·15薪,环保,国企,100-299人,,,全职,<岗位标签>项目投资</岗位标签>岗位主要职责： （1）进行业务所在相关区域/业务领域的市场开发，建立新渠道、寻求优质合作伙伴，完成公司下达的各项指标/目标。（2）负责收集并跟踪当地新项目信息，做好部门业务所在相关区域/业务领域项目储备，确保持续稳定发展。（3）负责建立和维护与所在相关区域/业务领域政府各相关部门及客户的关系。（4）与设计院、设备厂商、建筑安装施工单位等合作伙伴就具体立项项目进行沟通，完成立项项目开发相关工作。（5）与公司相关职能部门就具体项目立项、评审等流程进行沟通。（6）配合、监督合作,中工环境科技有限公司（简称“中工环境”）成立于2016年6月，注册资本5亿元人民币，是中工国际工程股份有限公司（简称“中工国际”）为整合环保领域优质资源成立的专业环保公司。中工国际（股票代码：002051...,http://company.zhaopin.com/CZL1301364070.htm,http://jobs.zhaopin.com/CCL1301364070J40200253104.htm,2024-05-13 10:49:31
产业基金投资经理(J30401),北京朝阳区北京市朝阳区酒仙桥北路甲10号院105号楼(电子城IT产业园A5楼),本科,3-5年,招1人,3万-3.5万·15薪,互联网,合资,10000人以上,已上市,,全职,<岗位标签>并购投资；股权投资；产业投资</岗位标签>岗位职责: 1、 能够独立完成产业基金项目投资。洞察硬科技、新材料、智能制造等市场变化，发现细分领域机会，通过深度行业研究发现并筛选投资机会，能够进行项目投资（项目Sourcing、尽调、谈判、投资执行、投后管理）等基金全周期工作； 2、 能够主导完成集团国内外战略投资及并购工作； 3、 探索集团资本运作的新方向及创新模式，完成集团项目一二级联动，并协助负责基金创新产品的设计及搭建。 任职要求: 1、2年及以上投、融资经验拥有产业投资背景和金融背景优先,58同城作为中国领先的生活服务平台，遵循“用户第一、简单可信、成就奋斗者”的企业核心价值观，以“帮助人们安居乐业”为企业使命，以“成为领先的产业化生活服务集团”为愿景。业务覆盖招聘、房产、汽车、本...,http://company.zhaopin.com/CC330611218.htm,http://jobs.zhaopin.com/CC330611210J40544583303.htm,2024-05-11 21:10:16
黑色品种投资经理,北京东城区北京市东城区朝阳门北大街1号新保利大厦,本科,3-5年,招1人,2.5万-3万,贸易/进出口,民营,20-99人,未融资,,全职,<岗位标签>基金从业资格证；期货从业资格证</岗位标签>注意：不符合任职资格和职责描述的勿投！职责描述：1、精通黑色金属各品种（包括钢材、铁矿、焦煤焦炭）的主要对冲模式，实现稳定盈利；2、负责制定黑色期货及金融衍生品对冲策略和头寸管理；<br>任职资格：<br>1、统招本科以上学历；2、期货投资交易经验丰富，至少三年以上盘面对冲交易经验，过往交易业绩稳定；3、具有丰富的期权投资经验； 4、具有丰富的黑色产业资源，有黑色期现经验的优先。<br>职位福利：五险一金、定期体检、带薪年假、补充医疗保险、年终奖金、,瑞钢联集团有限公司（简称瑞钢联集团，英文缩写RGL），成立于2003年，总部位于北京东二环的地标性建筑新保利大厦，在上海等地拥有自己的控股子公司。公司成立至今，一直致力于冶金原材料产品相关产业，从最初...,,http://jobs.zhaopin.com/CC120222510J40586119914.htm,2024-05-11 18:38:38
投资经理,北京海淀区北京市海淀区丹棱街3号,本科,3-5年,招2人,1万-2万,环保,国企,100-299人,,,全职,<岗位标签>项目投资</岗位标签>岗位主要职责：<br>1.独立完成投资项目的前期开发，包括不限于项目的筛选、跟踪、资料收集、商务关系协调工作2.完成投资项目前期策划3.组织投资项目立项前期商务协调、基本信息收集、项目基础数据调查等工作，完成项目背景资料收集汇总、可研分析、尽职调查、资产评估、风险分析工作4.推进协调拟投项目的投资方案和计划，投资项目审查、投资风险控制，参与项目合同谈判及投标、谈判投资退出和投后评价等工作5.推进协调项目后续投资分析、财务测算，组织综合评审；召开启动会，按照投标要求组织投标,中工环境科技有限公司（简称“中工环境”）成立于2016年6月，注册资本5亿元人民币，是中工国际工程股份有限公司（简称“中工国际”）为整合环保领域优质资源成立的专业环保公司。中工国际（股票代码：002051...,http://company.zhaopin.com/CZL1301364070.htm,http://jobs.zhaopin.com/CCL1301364070J40419086204.htm,2024-05-13 10:50:19
高级投资经理(J30049),北京朝阳区北京市朝阳区酒仙桥北路甲10号院105号楼(电子城IT产业园A5楼),本科,经验不限,招1人,3万-4万·15薪,互联网,合资,10000人以上,已上市,,全职,<岗位标签>并购投资；战略投资；企业投资</岗位标签>岗位职责:<br>1.行业研究，投资机会挖掘<br>2.项目投资执行，包括前期洽谈、项目计划的制定及实施<br>3.负责项目整体投研、评估分析、尽调工作及投资报告撰写<br>4.组织协调财法团队及第三方尽调工作<br>5.负责交易谈判，推进交易文件起草、签署、交割及投后管理等全流程<br>任职要求:<br>1.国内外知名院校金融、经济、统计、理工科等本科及以上学历<br>2.具备优秀的独立研究能力、学习能力、开拓能力及沟通能力<br>3.具备扎实的金融,58同城作为中国领先的生活服务平台，遵循“用户第一、简单可信、成就奋斗者”的企业核心价值观，以“帮助人们安居乐业”为企业使命，以“成为领先的产业化生活服务集团”为愿景。业务覆盖招聘、房产、汽车、本...,http://company.zhaopin.com/CC330611218.htm,http://jobs.zhaopin.com/CC330611210J40528556803.htm,2024-05-11 21:09:55
投资经理(J13624),北京朝阳区安慧北里逸园4号楼2层,本科,3-5年,招2人,8千-1万,环保,国企,500-999人,未融资,,全职,<岗位标签>环保行业；投资拓展</岗位标签>岗位职责: 1、负责区域市场分析、项目线索搜集，进行项目前期考察调研，出具调研报告。 2、制定并落实项目推进工作计划，建立日常项目沟通机制，负责项目实施落地。 3、负责组织编制项目合作方案（BOT/EPCO等模式）、招投标文件等。 4、负责政府关系搭建和维护，整合生态合作企业（勘察设计、施工等）达成合作条件。 5、整合内部条线资源（集团相关部门、大区相关部门、项目公司）开展项目推进工作。 6、负责空白区域市场拓展工作，牵引存量区域项目公司开展市场工作。 7、负责,北京建工环境发展有限责任公司原隶属于北京建工集团，成立于2007年，是北京建工集团在优化产业结构、探索绿色发展模式思路下成立的第一家环保企业。公司现有员工650余人，日处理规模达193万吨，其中污水处...,http://company.zhaopin.com/CZ210528910.htm,http://jobs.zhaopin.com/CC210528910J40514043716.htm,2024-05-11 20:14:20
投资经理,北京海淀区北京市海淀区丹棱街3号,本科,3-5年,招2人,1.5万-2万·15薪,环保,国企,100-299人,,,全职,<岗位标签>项目找寻；政府谈判</岗位标签>岗位主要职责： <br> 1.独立完成投资项目的前期开发，包括不限于项目的筛选、跟踪、资料收集、商务关系协调工作 2.完成投资项目前期策划 3.组织投资项目立项前期商务协调、基本信息收集、项目基础数据调查等工作，完成项目背景资料收集汇总、可研分析、尽职调查、资产评估、风险分析工作 4.推进协调拟投项目的投资方案和计划，投资项目审查、投资风险控制，参与项目合同谈判及投标、谈判投资退出和投后评价等工作 5.推进协调项目后续投资分析、财务测算，组织综合评审；召开启动会,中工环境科技有限公司（简称“中工环境”）成立于2016年6月，注册资本5亿元人民币，是中工国际工程股份有限公司（简称“中工国际”）为整合环保领域优质资源成立的专业环保公司。中工国际（股票代码：002051...,http://company.zhaopin.com/CZL1301364070.htm,http://jobs.zhaopin.com/CCL1301364070J40200258604.htm,2024-05-13 10:49:44
兼职工作,北京昌平区北京市昌平区301路;319路;464路;465路;621路;628路;905路;966路;984路;专133路;专137路;专58路;昌27路专线,学历不限,无经验,招1人,1千-2千元/月,银行,民营,20-99人,,,兼职/临时,<岗位标签>网络销售；个人客户；基金销售从业人员资格</岗位标签>工作内容： 1. 负责对外投资项目的尽职调查、谈判和合作协议签署； 2. 管理投资组合，进行风险控制和资产配置； 3. 开发和维护与投资机构的合作关系。 岗位要求： 4.精通投资分析，具备良好的市场敏锐度； 5. 出色的谈判和沟通能力，能与各方有效合作； 5. 具备较强的风险意识和决策能力。,主要招聘兼职，全职也可，不打卡不坐班，弹性工作，工资日结。主营POS机推广，信用卡推广业务，信用卡积分兑换!有人教，有人带，包教包会，成长空间大，后期收益非常可观!要求有自律性，责任心，沟通性良好。,http://company.zhaopin.com/CZL1468993220.htm,http://jobs.zhaopin.com/CCL1468993220J40587058701.htm,2024-05-13 12:04:51
养老投资经理（双休）,北京朝阳区北京朝阳区朝阳门外大街22号703,大专,经验不限,招1人,2万-4万,保险,国企,1000-9999人,已上市,,全职,<岗位标签>会议/会展销售；面销/陌拜；企业客户；KA大客户</岗位标签>个人养老规划师 <br> 【个人养老是大趋势】 在国家、市场、央企的多项政策支持下，面对庞大的养老蓝海市场，把握风口，有志踏上养老财富行业大船，赶上养老红利期，服务于高净值客户养老规划的寿险从业人员。 强大的历史背景，中国人寿成立于1949年10月20日的中国人民保险公司，隶属于国家财政部，属于副部级央企。致力于帮助人民解决养老问题 <br> <br> 【岗位职责】如下： 1.维护老客户，并开发新客户，完成销售任务。 2.客户专属理,中国人寿与共和国同龄，成立于1949年10月20日，2012年荣升副部级央企，是国内首家在纽约、香港、上海三地上市的寿险公司，是我国最大的国有金融保险集团。公司总资产近4万亿，连续18年入选《财富》世界500强...,http://company.zhaopin.com/CZ531290620.htm,http://jobs.zhaopin.com/CC531290620J40577621310.htm,2024-05-13 09:30:12
PE投资经理,北京朝阳区乐成中心A座2102,硕士,1-3年,招1人,2万-2.5万,证券/期货,民营,20-99人,,,全职,<岗位标签>投资机构(VC/PE)；股权；投资并购</岗位标签>岗位职责：1）投资评估；2）主导实施项目的尽职调查；3）股权投资方案的设计、谈判、交易、退出；4）负责投资成功项目的投后管理服务。任职要求：1）金融、财务、管理、营销、法律、经济、理工等相关专业硕士及以上学历；2）两年以上投行、券商、财务顾问、会计师事务所等相关工作经验，有业绩、有资源，具备知名PE投资机构从业经历优先；3）熟悉股权投资全流程，独立负责过多个股权投资项目，能独立运作PE投资项目；4）对TMT、新技术 / 新材料 / 新能源、节,北京友财投资管理有限公司（以下简称“友财投资”）成立于2015年1月，是在中国证券投资基金业协会登记的私募投资基金管理人（编号P1011170），专业从事私募股权投资等业务，机构股东包括位列中国企业500强的...,http://company.zhaopin.com/CZ270584180.htm,http://jobs.zhaopin.com/CC270584180J40380135808.htm,2024-05-11 20:36:26
战略投资与投资银行部经理,北京海淀区中关村(地铁站),学历不限,3-5年,招1人,1.6万-1.8万,人工智能,民营,20-99人,未融资,,全职,<岗位标签>金融衍生品；证券产品；供应链融资产品</岗位标签>投资与资本运营部的岗位职责：<br><br>投资管理：<br>负责制定并执行公司的投资策略，寻找并评估潜在的投资机会。<br>对投资项目进行尽职调查，分析项目的风险和收益，为决策提供依据。<br>管理公司的投资组合，确保资产的安全和增值。<br>资本运营：<br>负责公司的融资活动，包括与金融机构、投资者等沟通，筹集公司所需的资金。<br>优化公司的资本结构，降低资本成本，提高资本使用效率。<br>管理和协调公司的并购、重组等资本运作活动。<b,北京清控富华智能科技集团有限公司是在北京市注册的企业，集团位于中关村清华大学科技园，主营业务为智能科技产品、包括机器人、无人机、私人上午飞机的研发、生产、销售的;中关村AI电商;互联网卫星通信技术开...,http://company.zhaopin.com/CZL1457854840.htm,http://jobs.zhaopin.com/CCL1457854840J40567981514.htm,2024-05-13 11:53:26
1.早九晚六 不加班 无责底薪6500,北京朝阳区北京市朝阳区东三环中路7号(金台夕照地铁站A西北口步行90米),学历不限,经验不限,招1人,8千-1.6万,投资/融资,其它,100-299人,,,全职,"<岗位标签>股权</岗位标签>金融行业非贷款非助贷！！！和电销无关！公司位置交通便利，紧临地铁，视野开阔<br>有无经验者均可(带薪培训),公司每年2-4次精英游,每月每周不定时四位数以上的先进奖励<br>职位描述：<br>1.公司提供客户资源，负责添加客户微信，维护跟进客户，促成成交，维护老客户实现长期合作共赢<br>2.掌握私募股权基础知识，通过讲解让投资人理解私募股权安全性以及潜在机会;<br>3.快速学习公司当前项目，总结项目亮点并传达给潜在意向客户;<br><br>薪资待遇:<br>1无责任底薪","薪资待遇:1无责任底薪6500-10000+新人成长基金+提成+开单奖+到访奖+销冠奖+实物奖(每月薪水轻松过万)2每月准时发放工资,对优秀员工给予奖励,对新人有完善系统的培训,帮助员工提升销售技能和管理技能。3有...",http://company.zhaopin.com/CZL1482877590.htm,http://jobs.zhaopin.com/CCL1482877590J40528103413.htm,2024-05-13 12:23:55
投资理财顾问,北京朝阳区北京市朝阳区东三环中路39号院9号,学历不限,经验不限,招1人,3万-6万,基金,民营,500-999人,未融资,,全职,<岗位标签>销售专员；网络销售；大客户销售；基金销售</岗位标签>→→→23-30岁，需要情商高，有自发性学习能力，探索知识的欲望，形象干净，刻苦，想赚钱有工作经验的优先<br>公司所投资的项目都是非常优质的企业，有新能源汽车，智能驾驶，芯片，云服务，医药等领域的企业，市场认可度特别高，公司会给你提供优质的大客户资源，都是身价上千万上亿的合格投资者资源，这部分客户对投资都非常感兴趣，加上咱们的项目比较优质，客户的认可度高，很好开单，有无经验均可，会有经理进行培训，帮助你谈客户等辅助你开单，在这里能学到很多,岗位：企业顾问产品：私募股权基金要求：善于沟通交流，口齿伶俐年龄：25岁～35岁工作时间：9：00-6：00待遇：法定节假日正常休息，五险，国内外旅游职位要求:1.对私募股权基金有良好的认识及理解，具有良好...,http://company.zhaopin.com/CZ652982420.htm,http://jobs.zhaopin.com/CC652982420J40454602706.htm,2024-05-14 10:40:07
海外房产投资移民渠道经理,北京龙辉大厦1402室,大专,经验不限,招3人,1万-1.8万,咨询服务,外商独资,100-299人,未融资,,全职,<岗位标签>渠道销售；海外房产</岗位标签>岗位职责： 1、负责海外房产项目在中国区的推广工作，与合作方协作，通过展会、说明会等宣传形式，将海外项目完善全面地介绍给客户； 2、维护与合作方的关系，根据需求对我们的合作方进行必要的培训； 3、协调所负责片区的资源，与合作方进行稳定有效的沟通； 4、对于项目细节给予客户专业的指导； 5、持续关注客户需求，实时向客户更新房产项目及房产投资走势。 2、通过相关市场活动及渠道搜集客户信息，拓展并维护好客户关系网络，开发挖掘潜在目标客户；<br>3、积极开发新客户，跟,北京欧森海外管理咨询有限公司是一家专注于全球资产配置咨询的大型服务企业。创立于2013年，总部设立于新加坡，服务团队遍布全球，国内主要分布于北京、上海、深圳、广州，海外主要分布在希腊、西班牙、柬埔...,http://company.zhaopin.com/CZ839277540.htm,http://jobs.zhaopin.com/CC839277540J40075852013.htm,2024-05-14 11:28:33
投资顾问,北京朝阳区北京市朝阳区东三环中路7号(金台夕照地铁站A西北口步行90米),学历不限,经验不限,招1人,1.6万-3.2万,投资/融资,其它,100-299人,,,全职,"<岗位标签></岗位标签>金融行业非贷款非助贷！！！和电销无关！公司位置交通便利，紧临地铁，视野开阔<br>有无经验者均可(带薪培训),公司每年2-4次精英游,每月每周不定时四位数以上的先进奖励<br>职位描述：<br>1.公司提供客户资源，负责添加客户微信，维护跟进客户，促成成交，维护老客户实现长期合作共赢<br>2.掌握私募股权基础知识，通过讲解让投资人理解私募股权安全性以及潜在机会;<br>3.快速学习公司当前项目，总结项目亮点并传达给潜在意向客户;<br><br>薪资待遇:<br>1无责任底薪65","薪资待遇:1无责任底薪6500-10000+新人成长基金+提成+开单奖+到访奖+销冠奖+实物奖(每月薪水轻松过万)2每月准时发放工资,对优秀员工给予奖励,对新人有完善系统的培训,帮助员工提升销售技能和管理技能。3有...",http://company.zhaopin.com/CZL1482877590.htm,http://jobs.zhaopin.com/CCL1482877590J40528413813.htm,2024-05-13 12:24:09
投资经理,北京海淀区国铁投资大厦,本科,3-5年,招2人,2万-2.1万,基金,国企,20-99人,不需要融资,,全职,<岗位标签>股权类投资</岗位标签>职位描述：<br>1.协助完成股权投资类项目的开发拓展；<br>2.协助对投资项目组织前期调研、尽职调查、起草项目投资报告及路演相关文件；<br>3.协助对项目投资可行性进行分析及财务分析，设计交易结构，评价项目可投性及风险预测；<br>4.协助对所承做的项目全程跟进及投后管理；<br>5.完成公司领导交办的其他工作。<br><br> 任职要求： <br>1.教育背景：本科学历以上，经管类、理工类等相关专业； <br>2.年龄：35岁以下；条件优秀者可适当放宽。 <br,国铁建信资产管理有限公司（以下称“国铁建信”）成立于2016年6月，由国铁集团直属的中国铁路发展基金股份有限公司（以下称“铁路发展基金”）与中国建设银行下属的建信（北京）投资基金管理有限责任公司共同发...,http://company.zhaopin.com/CZL1260708280.htm,http://jobs.zhaopin.com/CCL1260708280J40523413804.htm,2024-05-14 12:25:52
投融资,北京朝阳区北京朝阳区住邦2000商务楼1号楼,大专,1-3年,招1人,24万-25万,企业服务,事业单位,1000-9999人,不需要融资,,全职,<岗位标签>金融衍生品；供应链融资产品</岗位标签>岗位经验：分公司总裁会干懂点的最好<br>岗位职责：面谈多劳多得<br>业务范围：<br>上市公司发债过桥、审计走账<br>对账单、存取款小票<br>个人资金、资信证明我做全国项目投资:<br>高速、机场 、桥梁 、隧道、 高铁 、地铁 、土石方，填海、市政，等央企国企，政府项目。 和队伍合作，给队伍投资，账户共管，拿项目纯利润的分红或利息，只做资金服务，不参与施工合作模式:<br>配合亮资；拉余额；工程大合同签完，资金可趴账、缴两金、环评费、帐外资金 ,岗位经验：分公司总裁、或者合伙人不用投资。会干懂点的最好岗位职责：面谈多劳多得业务范围：上市公司发债过桥、审计走账对账单、存取款小票个人资金、资信证明岗位福利：只要愿意合作一切皆有可能（二）、...,http://company.zhaopin.com/CZL1480724520.htm,http://jobs.zhaopin.com/CCL1480724520J40532218404.htm,2024-05-11 21:47:34
投资经理,北京朝阳区广渠路38号,本科,5-10年,招1人,1.5万-2.5万·14薪,快速消费品,国企,1000-9999人,未融资,,全职,<岗位标签>战略投资；并购；投资分析；投后管理；尽职调查；股权投资；行业研究；PE</岗位标签>岗位职责1. 负责开展战略研究工作，包括但不限于宏观环境分析、行业分析、竞争对手/标杆企业分析、内部环境分析等，撰写研究分析报告；2.研究国家投资相关的政策法规，保障股权投资项目运作符合规范要求；3.根据战略发展规划制定公司中长期、年度投资并购工作计划；4.关注目标领域标的公司，主动发现投资机会并进行可行性分析；5.负责建立企业资源库，以此支撑公司的对外合作及投资工作；6.对公司投资项目进行调研、立项、运作和管,北京一轻产业集团有限公司是北京一轻控股有限责任公司（以下简称“控股公司”）下属的二级大型国有独资公司，是控股公司旗下的产业集团，资产总额近百亿，涵盖酒类、食品饮料、新材料、日化等多种业态，拥有1个...,http://company.zhaopin.com/CZ311148880.htm,http://jobs.zhaopin.com/CC311148880J40173786312.htm,2024-05-11 20:58:42
投资经理,北京朝阳区万通中心C座1206,本科,1-3年,招1人,1.5万-3万,财务/审计/税务,民营,20-99人,天使轮,,全职,<岗位标签>制造业；医疗健康；投行/FA；私募基金；资管公司；投资机构(VC/PE)</岗位标签>1. 全行业行业FA，负责项目行研和材料承做工作；<br>2. 分析经济形势，负责投资项目的市场调研、数据收集和可行性分析；<br>3. 负责深度参与公司指派的项目，深度参与项目分析并负责汇总制作项目材料； <br>4. 负责项目建议书编制，客户提案和对接工作； 5. 负责开展业务拓展、市场信息收集、营销策略制定、客户与渠道拓展、合作交流、项目促进、项目谈判等工作。 <br>6. 完成领导交办的临时性工作安排,多一咨询成立于2018年，致力于为成长型企业提供专业的财务外包服务，为其快速及持续发展保驾护航；同时为具备资本运作条件客户提供融资、资产处置、并购、重组、独立IPO等资本运作财务技术支持。自成立以来，...,http://company.zhaopin.com/CZ700778930.htm,http://jobs.zhaopin.com/CC700778930J40310149410.htm,2024-05-14 11:02:53
投融资董事长,北京朝阳区北京朝阳区住邦2000商务楼1号楼,学历不限,10年以上,招1人,24万-25万,企业服务,事业单位,1000-9999人,不需要融资,,全职,<岗位标签>供应链融资产品</岗位标签>岗位经验：投资<br>岗位职责: 面谈多劳多得<br>业务范围：上司公司发债过桥，审计走账，对账单，存取款小票。<br>个人资金，资信证明<br>岗位福利: 不定期团建，生日活动。等等可以和领导提，期待一些新鲜血液的加入。<br>上班时间：早九晚六，双休。<br>个人提升：公司需要综合性人才，全面发展。公司有培训，有话术。带你谈客户，资金部署，规划。<br>公司环境好，有空调。老板也是年轻人，舒适的工作环境。<br>公司完善晋升制度：销售经理-团队主管-团队区长-分,岗位经验：分公司总裁、或者合伙人不用投资。会干懂点的最好岗位职责：面谈多劳多得业务范围：上市公司发债过桥、审计走账对账单、存取款小票个人资金、资信证明岗位福利：只要愿意合作一切皆有可能（二）、...,http://company.zhaopin.com/CZL1480724520.htm,http://jobs.zhaopin.com/CCL1480724520J40532287404.htm,2024-05-11 21:47:45
投资助理,北京北京市朝阳区左家庄1号国门大厦B座5层,中专/中技,经验不限,招1人,1万-2万,基金,民营,100-299人,未融资,,全职,<岗位标签>投资机构(VC/PE)；私募基金；股权</岗位标签>负责项目的投前一些事务安排，沟通力强，吃苦耐劳，有上进心,岗位职责:1、以微信社群开发、管理与维护来提高客户人数；2、配合公司直播平台完成客户转化；3、配合公司客户线下活动，有一定活动能力4、有同业或销售经验优先；职位要求:1、不限制学历，不限经验;2、具备很强...,http://company.zhaopin.com/CZ832795950.htm,http://jobs.zhaopin.com/CC832795950J40425690111.htm,2024-05-14 11:23:15
工程管理岗（中核汇海风电投资有限公司）,北京丰台区北京·诺德中心1号楼十层,本科,3-5年,招1人,1.2万-1.8万,电力/水利/热力/燃气,国企,10000人以上,不需要融资,,全职,<岗位标签></岗位标签>建立和完善公司工程项目建设管理体系并保障其有效运行；定期进行工程建设信息的统计、分析工作； 定期编制工程项目管理报告；分析工程管理问题及原因，跟进处理进度及效果，提高项目运行效率；协助项目经理，参与工程项目竣工验收工作；提供风机、塔筒、光伏组件、逆变器等设备的技术管理意见； 审核风电、光伏项目设备的招标技术规范书；提供建设期风电、光伏设备存在的问题技术建议；提供风电、光伏设备监造技术支持；定期进行工程建设项目的设备选型进行统计、分析工作；参与风电、光伏项目验收工作； 参与工程建设,中核汇能有限公司（以下简称“中核汇能”或“公司”）于2011年11月注册成立，是中央直接管理的国有骨干企业中国核工业集团有限公司的成员单位，是中核集团、中国核电非核新能源产业开发建设、运营的专业化平台...,http://company.zhaopin.com/CZ466841410.htm,http://jobs.zhaopin.com/CC466841410J40570125509.htm,2024-05-11 22:25:47
知识产权股权投资经理,北京中关村知识产权大厦B座,本科,3-5年,招1人,1.5万-2.5万,专利/商标/知识产权,国企,1000-9999人,不需要融资,,全职,<岗位标签>技术尽调；分析报告；技术调研；数据分析；专利可行性分析</岗位标签>股权投资经理岗位职责：<br>1.围绕基金投资项目，协助投资团队进行技术调研、数据收集、技术分析及相关尽职调查活动、摸底判断项目技术能力，辅助投资团队进行整体判断；<br>2.可独立完成投资项目的技术尽职调查，包括可能涉及的行业&产业研究报告、技术分析报告、知识产权尽调报告、可行性研究报告等书面材料的撰写；<br>3.配合完成和实施项目整体投资方案，并对技术部分实施过程进行监督与控制，依据形势的变化灵活变通及时作出修正，以保证,北京知识产权运营管理有限公司（简称“北京IP”）成立于2014年7月，由北京市委市政府主要领导批示，北京市政府发文设立，是我国首个政府倡导设立的专门从事知识产权运营的国有平台，我国知识产权运营事业的探路...,http://company.zhaopin.com/CC487054627.htm,http://jobs.zhaopin.com/CC487054620J40515603214.htm,2024-05-11 22:27:46
投资运营高级项目经理,北京东城区和平里七区15号楼,硕士,5-10年,招1人,2万-2.5万,矿产/采掘,国企,20-99人,不需要融资,,全职,<岗位标签></岗位标签>任职条件：熟练掌握英语，6级以上；5年以上相关工作经验，有矿业或海外工作经验优先学历要求：硕士研究生及以上所学专业：采矿/地质/水冶/商务/俄语、法语,中核海外有限公司是中核集团二类成员单位，由中国铀业股份有限公司100%持股，定位为中核铀业天然铀一体化平台、海外资源开发平台、海外投融资平台及海外贸易平台。主营业务包括海外铀资源勘查、开发及天然铀贸...,http://company.zhaopin.com/CZL1469860190.htm,http://jobs.zhaopin.com/CCL1469860190J40528871304.htm,2024-05-13 12:05:02
塔台管制员-北京华彬天星机场投资管理有限公司,北京密云区北京密云穆家峪机场,大专,1-3年,招1人,1.2万-1.5万,证券/期货,外商独资,1000-9999人,未融资,,全职,<岗位标签>塔台管制</岗位标签>岗位职责：1、向地面航空器发布放行许可并对机组的复述正确负责；<br>2、向地面航空器发布推出开车指令；<br>3、向地面航空器发布滑行指令，并对滑行道选择的正确性负责；<br>4、负责航空器的地面滑行指挥；<br>5、填写《塔台值班日志》，确保填写内容正确完整；<br>6、负责提供起落航线和进离港航空器的空中交通管制服务，防止航空器与航空器相撞及航空器与地面障碍物相撞，维护空中交通秩序，加速空中流量；<br>7、正确实施空中交通管理，确保空中交通高效、有序地运行；<br,华彬集团为大型外商投资企业，以快速消费、高档物业、高尔夫俱乐部、酒店服务业等多元化产业为主，资产规模超过150亿元人民币。华彬集团所属主要全资企业为：红牛维他命饮料有限公司、北京华彬国际大厦有限公司...,http://company.zhaopin.com/CZ149850310.htm,http://jobs.zhaopin.com/CC149850310J40495218410.htm,2024-05-11 19:49:31
北京外企投资上海有限公司 投资总监,北京朝阳区北京市北京市朝阳区西大望路15号-3号(九龙山地铁站A西北口旁)首都实业B座,本科,5-10年,招1人,2万-2.5万·15薪,企业服务,国企,10000人以上,未融资,,全职,<岗位标签>股权投资；产业投资；战略投资</岗位标签>岗位职责:<br>1. 负责挖掘优质投资项目，负责项目的尽职调查、投资方案的设计编写、可行性分析整体工作。负责项目的谈判、协议签订工作。<br>2. 负责项目投后管理工作，协助企业规范运营、融资、上市工作，设计项目退出方案。<br>3. 研究行业发展趋势，收集市场环境、竞争对手、资源状况等信息，为公司投资行为提供依据；<br>4. 协助总经理完成其他工作<br><br>岗位要求:<br>1. 本科及以上学历，金融、经济、信息、科技类相关专业。<br>2,首都实业投资有限公司，是在原北京外企服务集团、北京实业开发总公司的基础上重组成立的市管一级集团性国有企业。注册资金 7亿元，资产总额逾百亿元，下属全资及参股企业近六十家。首都实业公司以安保服务为龙头...,http://company.zhaopin.com/CZL1449096850.htm,http://jobs.zhaopin.com/CCL1449096850J40554036508.htm,2024-05-13 11:51:05
